Species,Tissue Class,Tissue Type,Cancer,Cell Type,Cell Marker,Source,Supported Sources,Details
Mouse,Brain,Brain,Normal cell,CCK basket cell,Eif2c2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Basket cell,Eif5a2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Eif5a2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Elfn2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Elmo1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Elmod1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Elovl1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Elovl4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Elovl5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Elp4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Eltd1,Single-cell sequencing,2,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Emb,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Emcn,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Bergmann glial cell,Emid1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Emid1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Eml1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Eml6,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Emr1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Emr1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Dorsal otocyst,Emx2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Cajal-Retzius cell,Emx2os,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Enah,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Endod1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Eng,Single-cell sequencing,2,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Enkur,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IB spiral ganglion neuron,Eno1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Eno4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Enpp2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Enpp2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Enpp4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Entpd1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Entpd2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Entpd3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Entpd6,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Epas1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Smooth muscle cell,Epas1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Chandelier cell,Epb4.1l4a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Epb41,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Epb41l1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Epb41l3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Epb41l4a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Epb41l4a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Epdr1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Cajal-Retzius cell,Epha3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Epha4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Epha8,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Ephb2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Ephx4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Epn2,Single-cell sequencing,2,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Epn2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Epn3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Bergmann glial cell,Eps15,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Eps15,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,CCK basket cell,Eps8,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Eral1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Erc1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Erg,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Erich1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Erich3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Erlin2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Ermn,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ern1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Chandelier cell,Errfi1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Esam,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Espn,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Esr2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Basket cell,Esrrg,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Esrrg,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Esyt1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Etf1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ethe1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Etohi1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Ets1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Smooth muscle cell,Ets1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Basket cell,Etv6,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Eva1a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Eva1c,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuroblast,Evf1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Evi2a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Exoc5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ext2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Extl2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Late neuroblast,Eya2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IB spiral ganglion neuron,Ezr,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Ezr,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,F11r,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,F11r,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,F13a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,F2r,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,F2r,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,F630111L10Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,F730043M19Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,F8a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Fa2h,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fa2h,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Faah,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Olfactory ensheathing glia,Fabp7,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Faim2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Faim2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fam117a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fam126b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fam13b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fam155a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,CCK basket cell,Fam163a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Chandelier cell,Fam163b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fam175b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fam178b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fam184b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fam189a2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fam20a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fam20c,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Fam219aos,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fam219b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fam227a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fam234b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Fam3c,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Basket cell,Fam43a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Fam43b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Long-projecting GABAergic cell,Fam46a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fam53b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fam57b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Cajal-Retzius cell,Fam65b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fam65b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fam73b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fam78a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Fam78b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Fam84a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fam98c,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Fanca,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Farp2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Olfactory ensheathing glia,Fat1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fat1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Cajal-Retzius cell,Fat3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fat3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fbln5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fbln7,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fbn2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Fbxl16,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Bergmann glial cell,Fbxl7,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Activated neural stem cell,Fbxo2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ventral otocyst,Fbxo2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IB spiral ganglion neuron,Fbxo27,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fbxo31,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fbxo32,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fbxo33,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fbxo34,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fbxo40,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Fbxo40,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fbxo41,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fbxw17,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fbxw7,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Fcer1g,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Fcgr3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Fchsd2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Fcrls,Single-cell sequencing,2,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fdft1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fdxr,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fes,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fez2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fgd2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Early neuroblast,Fgf10,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Chandelier cell,Fgf13,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fgf18,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Early neuroblast,Fgf3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Fgf5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Early neuroblast,Fgf8,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fgf9,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Bergmann glial cell,Fgfr1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fgfr1op,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Fgfr3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Dorsal otocyst,Fgfr3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fgfr3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fh1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Fhad1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fhdc1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fhod3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fign,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Mural cell,Filip1l,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Firre,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Fjx1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Fkbp11,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fkbp1b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Fkbp5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Fkbp9,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Fli1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Fli1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Fli1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Flnb,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Flot2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Flrt3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Flt1,Single-cell sequencing,3,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Flt3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Flywch1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Flywch2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Cajal-Retzius cell,Fmn1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Fmn1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Fmnl1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fmod,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Fn1,Single-cell sequencing,3,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fn3k,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fnbp1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fnbp1l,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Long-projecting GABAergic cell,Fndc1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Cajal-Retzius cell,Fndc3b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fndc4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuroblast,Foxc1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Foxj1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Foxj2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Olfactory ensheathing glia,Foxo1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Foxq1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Martinotti cell,Foxred2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fpgt,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Frat1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Frat1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Frat2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Cajal-Retzius cell,Frmd4b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Frmd4b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Frmd5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Frmd8,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Frmpd1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Olfactory ensheathing glia,Frzb,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Fscn2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Dorsal otocyst,Fst,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Fstl1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fstl4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Fstl5,Single-cell sequencing,1,DETAIL
